AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Manjunatha,34,1,A1
2,2,Manjunath Gowda,31,1,A1
3,3,Manjunath Gowda,29,1,A1
4,4,Manjunatha,30,1,A1
5,5,Manjunatha,32,1,A1
6,6,Manjunatha,34,1,A1
7,7,Manjunath,29,1,A1
8,8,Manjunath Gowda,32,1,A1
9,9,Manjunath,30,1,A1
10,10,Manjunath,31,1,A1
11,11,Manjunath,31,1,A1
12,12,Manjunatha,34,1,A1
13,13,Ravi K,30,1,A1
14,13,Muniraju,35,1,A2
15,13,Ravi Kumar,30,1,A3
16,13,Santosh Naik,29,1,A4
17,14,Syed Imran,31,1,A1
18,14,Muniraju,34,1,A2
19,14,Naveen Reddy,27,1,A3
20,15,Naveen Reddy,26,1,A1
21,15,Ravi K,28,1,A2
22,15,Santosh Naik,27,1,A3
23,16,Syed Imran,30,1,A1
24,16,Naveen Reddy,26,1,A2
25,16,Muniraju,33,1,A3
26,17,Santosh Naik,29,1,A1
27,17,Ravi K,30,1,A2
28,17,Muniraju,35,1,A3
29,18,Muniraju,35,1,A1
30,18,Santosh Naik,29,1,A2
31,18,Ravi Kumar,30,1,A3
32,19,Naveen Reddy,28,1,A1
33,19,Ravi Kumar,30,1,A2
34,19,Syed Imran,32,1,A3
35,19,Santosh Naik,29,1,A4
36,20,Muniraju,36,1,A1
37,20,Syed Imran,33,1,A2
38,20,Ravi K,31,1,A3
39,20,Naveen Reddy,29,1,A4
40,21,Santosh Naik,30,1,A1
41,21,Syed Imran,33,1,A2
42,22,Ravi K,30,1,A1
43,22,Santosh Naik,29,1,A2
44,23,Ravi K,31,1,A1
45,23,Santosh Naik,30,1,A2
46,23,Ravi Kumar,31,1,A3
47,24,Santosh Naik,29,1,A1
48,24,Ravi K,30,1,A2
49,25,Naveen Reddy,27,1,A1
50,25,Santosh Naik,28,1,A2
51,26,Ravi K,30,1,A1
52,26,Ravi Kumar,30,1,A2
53,27,Muniraju,34,1,A1
54,27,Syed Imran,31,1,A2
55,28,Chandrashekar Patil,28,1,A1
56,28,Manjunath,38,1,A2
57,29,Puneeth,43,1,A1
58,30,Manjunath,26,1,A1
59,31,Raghavendra Reddy,36,1,A1
60,33,Harish,22,1,A1
61,33,Santosh Murthy,47,1,A2
62,34,Raghavendra Naik,26,1,A1
63,34,Mahesh Naik,26,1,A2
64,37,Darshan Reddy,49,1,A1
65,37,Darshan Murthy,26,1,A2
66,38,Santosh Reddy,45,1,A1
67,40,Manjunath Gowda,19,1,A1
68,41,Santosh Kumar,39,1,A1
69,42,Basavaraj Patil,38,1,A1
70,43,Harish,33,1,A1
71,43,Prakash,28,1,A2
72,43,Srinivas Murthy,41,1,A3
73,44,Ramesh Shetty,49,1,A1
74,44,Mahesh Shetty,24,1,A2
75,44,Shivakumar,21,1,A3
76,46,Chandrashekar Patil,24,1,A1
77,46,Krishnappa Shetty,24,1,A2
78,46,Santosh Swamy,30,1,A3
79,47,Basavaraj Achar,35,1,A1
80,49,Harish Hegde,28,1,A1
81,50,Shivakumar Patil,37,1,A1
82,51,Shivakumar Rao,43,1,A1
83,52,Anand Poojari,43,1,A1
84,52,Santosh,50,1,A2
85,53,Lokesh Poojari,43,1,A1
86,53,Lokesh Murthy,33,1,A2
87,53,Umesh Murthy,35,1,A3
88,54,Prakash,45,1,A1
89,55,Prakash Swamy,25,1,A1
90,58,Chandrashekar Gowda,39,1,A1
91,58,Nagaraj,21,1,A2
92,59,Manjunath Rao,32,1,A1
93,60,Manjunath Kumar,19,1,A1
94,60,Venkatesh Rao,20,1,A2
95,60,Manjunath Naik,49,1,A3
96,61,Anand Swamy,28,1,A1
97,63,Ramesh Naik,27,1,A1
98,63,Harish,31,1,A2
