ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Bhagya Achar,45,7,4,4,2
2,2,Harish Rao,58,6,1,5,1
3,3,Vani,70,3,3,2,2
4,4,Nagamma Naik,28,3,1,9,2
5,5,Yogesh Gowda,62,6,1,10,1
6,6,Suresh Naik,67,2,3,5,1
7,7,Deepa Swamy,67,7,1,3,2
8,8,Deepa Kumar,22,8,2,6,2
9,9,Shwetha,24,1,1,5,2
10,10,Geetha Reddy,51,9,2,9,2
11,11,Manjula Achar,42,6,1,9,2
12,12,Nagamma,69,9,1,1,2
13,13,Divya Gowda,44,4,1,4,2
14,14,Manjula Murthy,24,8,2,4,2
15,15,Raghavendra,48,2,1,9,1
16,16,Rathnamma Shetty,58,6,1,2,2
17,17,Padma Rao,46,6,1,8,2
18,18,Lokesh,23,2,7,3,1
19,19,Mahesh Naik,30,9,1,5,1
20,20,Mahesh Shetty,48,6,1,1,1
21,21,Venkatesh,53,6,1,6,1
22,22,Lakshmi Gowda,47,6,1,2,2
23,23,Raghavendra,44,4,2,6,1
24,24,Ramesh Achar,61,5,6,10,1
25,25,Puneeth,57,2,1,10,1
26,26,Lakshmi,35,10,1,8,2
27,27,Rekha Patil,18,1,1,2,2
28,28,Nagaraj,61,7,2,1,1
29,29,Puneeth Poojari,39,5,1,1,1
30,30,Yogesh Poojari,24,8,1,9,1
31,31,Darshan Patil,37,5,1,4,1
32,32,Deepa Gowda,30,2,1,10,2
33,33,Manjula Kumar,42,5,1,1,2
34,34,Santosh,27,2,2,9,1
35,35,Sunitha Shetty,37,8,1,5,2
36,36,Divya Patil,33,1,1,6,2
37,37,Ramesh Swamy,19,6,1,8,1
38,38,Yogesh Kumar,63,6,2,3,1
39,39,Rekha Achar,47,5,1,6,2
40,40,Rathnamma Murthy,68,9,1,5,2
41,41,Lokesh,56,8,4,5,1
42,42,Chandrashekar Naik,19,6,1,9,1
43,43,Bhagya,41,1,1,3,2
44,44,Darshan Poojari,20,9,1,3,1
45,45,Chandrashekar Naik,36,2,1,6,1
46,46,Nagaraj,31,4,1,8,1
47,47,Asha Rao,39,6,1,4,2
48,48,Suresh Hegde,48,4,4,2,1
49,49,Darshan Reddy,65,6,1,2,1
50,50,Umesh Naik,59,4,1,4,1
51,51,Yogesh Rao,66,2,1,9,1
52,52,Shivakumar Shetty,19,2,3,7,1
53,53,Chandrashekar Naik,63,2,2,1,1
54,54,Yogesh Poojari,67,8,1,10,1
55,55,Girish Reddy,44,2,1,2,1
56,56,Krishnappa Reddy,62,4,1,6,1
57,57,Savitha Kumar,48,10,1,3,2
58,58,Padma Swamy,38,6,1,7,2
59,59,Anand,61,6,7,10,1
60,60,Raghavendra Gowda,67,5,1,1,1
61,61,Rekha Swamy,61,4,1,4,2
62,62,Geetha Hegde,23,3,1,7,2
63,63,Basavaraj,35,1,2,9,1
64,64,Nagaraj Patil,38,7,1,4,1
65,65,Rekha Kumar,34,6,3,7,2
66,66,Basavaraj Achar,26,2,1,2,1
67,67,Girish Reddy,26,8,1,3,1
68,68,Rathnamma Reddy,38,5,7,3,2
69,69,Girish Swamy,18,4,1,9,1
70,70,Harish Poojari,18,2,1,9,1
71,71,Suresh Naik,54,5,3,8,1
72,72,Lokesh,54,2,1,7,1
73,73,Suresh,64,7,1,3,1
74,74,Raghavendra Achar,37,7,2,5,1
75,75,Savitha,58,5,1,7,2
76,76,Shobha Shetty,66,5,1,3,2
77,77,Mahesh Swamy,18,7,7,7,1
78,78,Umesh Patil,69,8,1,2,1
79,79,Puneeth Murthy,29,8,1,6,1
80,80,Umesh Hegde,43,8,1,4,1
81,81,Shivakumar Hegde,63,6,1,7,1
82,82,Girish Achar,65,8,1,3,1
83,83,Nagaraj Poojari,47,4,1,4,1
84,84,Divya Murthy,51,6,1,6,2
85,85,Asha Gowda,57,1,1,3,2
86,86,Nagamma Shetty,45,6,1,7,2
87,87,Pallavi Poojari,70,8,1,9,2
88,88,Puneeth,23,9,1,10,1
89,89,Geetha Swamy,52,4,7,8,2
90,90,Harish Swamy,41,5,7,3,1
91,91,Savitha Kumar,32,6,1,6,2
92,92,Darshan,46,3,7,6,1
93,93,Kavitha Patil,25,7,1,9,2
94,94,Rekha,40,8,1,2,2
95,95,Puneeth Hegde,43,3,1,6,1
96,96,Muniraju Naik,37,3,1,7,1
97,97,Rekha,41,4,1,10,2
98,98,Krishnappa Kumar,67,2,1,5,1
99,99,Prakash Murthy,64,4,1,7,1
100,100,Prakash Reddy,49,9,1,7,1
101,101,Puneeth,18,1,1,8,1
102,102,Suresh Poojari,61,6,2,5,1
103,103,Santosh Reddy,38,7,1,5,1
104,104,Mahesh,35,6,1,7,1
105,105,Darshan Naik,40,4,2,1,1
106,106,Pallavi Achar,31,7,2,9,2
107,107,Lokesh Gowda,50,2,1,4,1
108,108,Divya Murthy,48,7,3,3,2
109,109,Sunitha Gowda,30,6,1,1,2
110,110,Sunitha,55,2,1,10,2
111,111,Rathnamma Murthy,27,7,3,8,2
112,112,Yogesh,50,10,1,5,1
113,113,Prakash Murthy,45,8,1,3,1
114,114,Girish Poojari,31,5,1,4,1
115,115,Asha Shetty,39,5,1,8,2
116,116,Rekha,62,8,1,8,2
117,117,Lakshmi Poojari,48,5,1,8,2
118,118,Darshan,46,6,1,2,1
119,119,Lakshmi Gowda,33,6,1,2,2
120,120,Shobha,67,1,1,7,2
121,121,Rekha,34,8,1,9,2
122,122,Darshan Shetty,49,4,4,3,1
123,123,Savitha,62,2,2,5,2
124,124,Manjunath Shetty,61,10,2,5,1
125,125,Deepa Shetty,30,8,1,3,2
126,126,Shobha,30,2,1,6,2
127,127,Santosh Murthy,25,5,1,9,1
128,128,Rekha Hegde,43,2,1,9,2
129,129,Sunitha Hegde,58,5,5,4,2
130,130,Savitha Rao,47,2,1,2,2
131,131,Shivakumar Murthy,50,2,1,10,1
132,132,Rathnamma Reddy,24,2,1,2,2
133,133,Pallavi Shetty,61,7,3,1,2
134,134,Srinivas Gowda,36,7,1,10,1
135,135,Divya,68,6,1,2,2
136,136,Deepa Reddy,23,3,7,3,2
137,137,Darshan Swamy,34,3,1,4,1
138,138,Rathnamma Naik,66,8,1,8,2
139,139,Pallavi Hegde,53,7,2,4,2
140,140,Bhagya Naik,53,6,3,5,2
141,141,Srinivas Shetty,56,2,1,10,1
142,142,Lokesh Naik,33,7,1,8,1
143,143,Rekha Murthy,38,6,1,6,2
144,144,Kiran Shetty,60,3,4,1,1
145,145,Puneeth Murthy,61,10,1,9,1
146,146,Santosh Swamy,47,7,1,10,1
147,147,Manjunath,52,5,1,4,1
148,148,Yogesh Poojari,30,2,1,6,1
149,149,Muniraju Achar,28,4,1,8,1
150,150,Pallavi Murthy,24,4,1,4,2
151,151,Anand Achar,51,6,1,1,1
152,152,Rathnamma Achar,29,2,1,7,2
153,153,Chandrashekar Poojari,62,6,1,6,1
154,154,Kavitha Patil,30,6,1,6,2
155,155,Prakash Poojari,33,2,1,1,1
156,156,Darshan Rao,68,8,1,9,1
157,157,Nagamma Achar,33,4,1,3,2
158,158,Suresh Swamy,52,5,1,7,1
159,159,Girish Patil,28,3,3,8,1
160,160,Anand,47,2,1,6,1
161,161,Manjunath Achar,22,8,1,1,1
162,162,Sunitha Swamy,31,7,1,3,2
163,163,Venkatesh Shetty,59,1,2,5,1
164,164,Lokesh,28,6,1,4,1
165,165,Savitha Gowda,55,2,1,4,2
166,166,Shwetha Poojari,69,1,1,7,2
167,167,Asha Reddy,61,2,1,7,2
168,168,Bhagya Rao,56,9,3,5,2
169,169,Lokesh Swamy,43,9,1,1,1
170,170,Deepa Naik,61,4,1,4,2
171,171,Krishnappa Swamy,27,7,1,1,1
172,172,Rekha,58,6,5,9,2
173,173,Umesh Gowda,41,4,1,3,1
174,174,Puneeth Patil,70,2,1,6,1
175,175,Bhagya Achar,22,2,1,8,2
176,176,Srinivas Patil,46,8,1,5,1
177,177,Rathnamma,57,2,1,6,2
178,178,Shobha Hegde,45,9,1,9,2
