EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1001,1,6,7,1,KGID1001,Krishnappa Hegde,1990-12-14,1,6,0,2010-04-01
1002,1,6,6,3,KGID1002,Prakash Murthy,1977-12-06,1,3,0,2010-07-01
1003,1,6,4,2,KGID1003,Krishnappa Achar,1979-05-19,1,3,0,2009-05-01
1004,1,6,7,3,KGID1004,Umesh,1980-07-15,1,4,0,2012-11-01
1005,1,6,5,2,KGID1005,Krishnappa,2000-04-16,1,4,0,2019-04-01
1006,1,6,7,4,KGID1006,Srinivas Gowda,1989-12-24,1,1,0,2010-12-01
1007,1,6,6,3,KGID1007,Krishnappa Shetty,1998-01-23,1,5,0,2006-05-01
1008,1,6,7,3,KGID1008,Shivakumar Swamy,1976-06-16,1,5,0,2005-01-01
1009,1,6,6,3,KGID1009,Manjunath Murthy,1983-02-06,1,4,0,2016-01-01
1010,1,7,4,1,KGID1010,Girish,1978-05-15,1,5,0,2014-09-01
1011,1,7,7,3,KGID1011,Prakash Achar,1975-05-24,1,3,0,2021-12-01
1012,1,7,4,2,KGID1012,Puneeth Achar,1979-04-13,1,4,0,2019-01-01
1013,1,7,7,3,KGID1013,Darshan Kumar,1994-02-20,1,5,0,2004-09-01
1014,1,7,7,3,KGID1014,Shivakumar,1997-05-14,1,5,0,2022-03-01
1015,1,7,6,4,KGID1015,Srinivas Poojari,1985-04-22,1,2,0,2007-04-01
1016,1,8,5,1,KGID1016,Suresh Patil,1996-04-19,1,3,0,2016-04-01
1017,1,8,6,4,KGID1017,Shivakumar Swamy,1975-06-27,1,6,0,2017-07-01
1018,1,8,7,4,KGID1018,Kiran,2000-07-12,1,7,0,2002-10-01
1019,1,8,4,2,KGID1019,Shivakumar,1979-04-20,1,5,0,2008-11-01
1020,1,8,7,3,KGID1020,Kiran Swamy,1997-01-23,1,3,0,2005-08-01
1021,1,8,7,3,KGID1021,Harish,1997-04-08,1,8,0,2007-09-01
1022,1,9,6,1,KGID1022,Suresh,1986-11-26,1,5,0,2019-09-01
1023,1,9,7,3,KGID1023,Prakash Poojari,1991-09-17,1,2,0,2019-06-01
1024,1,9,7,3,KGID1024,Girish,1990-10-17,1,5,0,2000-09-01
1025,1,9,6,3,KGID1025,Srinivas Hegde,1991-02-05,1,5,0,2007-09-01
1026,1,9,6,4,KGID1026,Nagaraj Murthy,1992-07-01,1,8,0,2000-12-01
1027,1,9,7,4,KGID1027,Girish Kumar,1978-08-23,1,2,0,2019-12-01
1028,1,9,6,3,KGID1028,Krishnappa,1999-06-11,1,5,0,2008-07-01
1029,1,10,7,1,KGID1029,Muniraju Kumar,1994-05-12,1,3,0,2004-11-01
1030,1,10,6,3,KGID1030,Muniraju Rao,1983-07-03,1,4,0,2013-04-01
1031,1,10,7,4,KGID1031,Umesh Hegde,1995-10-18,1,6,0,2004-08-01
1032,1,10,5,2,KGID1032,Girish Murthy,1984-10-05,1,6,0,2005-02-01
1033,1,10,5,2,KGID1033,Harish Swamy,1978-05-02,1,8,0,2018-06-01
1034,1,10,4,2,KGID1034,Anand,1976-04-21,1,7,0,2011-02-01
1035,1,11,4,1,KGID1035,Muniraju,1997-12-10,1,4,0,2005-08-01
1036,1,11,5,2,KGID1036,Raghavendra Hegde,1984-07-27,1,6,0,2004-12-01
1037,1,11,6,4,KGID1037,Kiran Patil,1993-06-14,1,2,0,2022-03-01
1038,1,11,5,2,KGID1038,Prakash Reddy,1996-08-11,1,4,0,2014-02-01
1039,1,11,7,4,KGID1039,Mahesh Naik,1977-01-28,1,3,0,2002-09-01
1040,1,11,6,4,KGID1040,Girish Rao,1980-08-10,1,2,0,2002-07-01
1041,1,11,4,2,KGID1041,Manjunath Rao,1981-11-11,1,6,0,2012-06-01
1042,1,11,4,2,KGID1042,Prakash,1990-06-11,1,8,0,2017-10-01
1043,1,12,7,1,KGID1043,Darshan Naik,1986-02-25,1,6,0,2022-10-01
1044,1,12,7,4,KGID1044,Prakash,1978-11-14,1,7,0,2010-10-01
1045,1,12,4,2,KGID1045,Suresh Reddy,1998-07-17,1,5,0,2017-03-01
1046,1,12,6,3,KGID1046,Ramesh,1995-10-25,1,1,0,2013-09-01
1047,1,12,6,3,KGID1047,Harish Swamy,1985-06-17,1,8,0,2018-05-01
1048,1,12,5,2,KGID1048,Puneeth Poojari,1979-12-03,1,1,0,2014-06-01
1049,1,12,7,3,KGID1049,Mahesh Swamy,1976-12-04,1,2,0,2005-01-01
1050,1,12,6,4,KGID1050,Mahesh,1993-01-11,1,2,0,2008-09-01
1051,1,12,7,3,KGID1051,Puneeth,1998-08-02,1,5,0,2002-03-01
1052,1,12,7,4,KGID1052,Nagaraj Gowda,1992-04-21,1,7,0,2002-11-01
1053,2,13,6,1,KGID1053,Raghavendra,1991-09-20,1,5,0,2007-10-01
1054,2,13,5,2,KGID1054,Girish Gowda,1979-06-25,1,8,0,2004-08-01
1055,2,13,5,2,KGID1055,Darshan Rao,1993-03-06,1,5,0,2019-08-01
1056,2,13,6,4,KGID1056,Harish Rao,1980-03-06,1,4,0,2014-08-01
1057,2,13,5,2,KGID1057,Basavaraj Gowda,1996-11-10,1,4,0,2016-10-01
1058,2,13,5,2,KGID1058,Darshan Patil,1978-10-04,1,8,0,2014-08-01
1059,2,13,6,4,KGID1059,Shivakumar Reddy,1994-05-18,1,8,0,2006-01-01
1060,2,13,6,3,KGID1060,Santosh Kumar,1982-09-15,1,7,0,2000-12-01
1061,2,13,7,3,KGID1061,Suresh,1982-12-27,1,5,0,2003-12-01
1062,2,13,7,4,KGID1062,Umesh,1984-02-18,1,2,0,2019-12-01
1063,2,14,6,1,KGID1063,Nagaraj,1993-06-15,1,6,0,2000-05-01
1064,2,14,7,4,KGID1064,Prakash Gowda,1994-07-19,1,3,0,2001-04-01
1065,2,14,4,2,KGID1065,Harish Patil,1997-10-06,1,2,0,2002-08-01
1066,2,14,6,4,KGID1066,Puneeth Kumar,1977-09-02,1,6,0,2004-01-01
1067,2,14,4,2,KGID1067,Darshan Shetty,1998-02-05,1,5,0,2009-08-01
1068,2,14,7,4,KGID1068,Basavaraj Hegde,1995-05-25,1,3,0,2002-11-01
1069,2,14,4,2,KGID1069,Kiran Patil,1996-08-28,1,5,0,2018-02-01
1070,2,14,6,3,KGID1070,Krishnappa Reddy,1978-12-28,1,8,0,2022-10-01
1071,2,14,4,2,KGID1071,Ramesh Shetty,1993-02-25,1,7,0,2006-09-01
1072,2,14,5,2,KGID1072,Srinivas Rao,1997-02-15,1,8,0,2019-09-01
1073,3,15,6,1,KGID1073,Basavaraj,1998-01-06,1,2,0,2016-01-01
1074,3,15,6,4,KGID1074,Anand Shetty,1985-06-12,1,7,0,2018-10-01
1075,3,15,5,2,KGID1075,Ramesh Achar,2000-01-09,1,4,0,2010-05-01
1076,3,15,7,3,KGID1076,Girish Achar,1977-03-25,1,3,0,2016-09-01
1077,3,15,7,3,KGID1077,Yogesh Naik,1975-02-06,1,5,0,2007-12-01
1078,3,15,7,4,KGID1078,Umesh Patil,1984-06-16,1,3,0,2007-04-01
1079,3,15,4,2,KGID1079,Prakash Naik,1987-07-03,1,7,0,2022-01-01
1080,3,15,6,3,KGID1080,Basavaraj Swamy,1981-06-26,1,5,0,2011-07-01
1081,3,15,6,3,KGID1081,Shivakumar Naik,1983-12-02,1,1,0,2012-04-01
1082,3,15,7,4,KGID1082,Puneeth Shetty,1992-08-17,1,2,0,2013-03-01
1083,3,16,6,1,KGID1083,Santosh Hegde,2000-01-13,1,5,0,2018-04-01
1084,3,16,6,3,KGID1084,Raghavendra Hegde,1992-12-15,1,1,0,2019-03-01
1085,3,16,6,3,KGID1085,Santosh Rao,1986-08-02,1,4,0,2000-09-01
1086,3,16,5,2,KGID1086,Krishnappa Patil,1992-08-12,1,7,0,2007-03-01
1087,3,16,6,4,KGID1087,Srinivas Shetty,1985-12-11,1,1,0,2022-11-01
1088,3,16,7,4,KGID1088,Nagaraj Patil,1982-08-26,1,4,0,2016-01-01
1089,3,16,6,4,KGID1089,Mahesh Achar,1985-06-24,1,6,0,2020-08-01
1090,3,16,7,4,KGID1090,Kiran Achar,1988-09-23,1,8,0,2015-08-01
1091,4,17,7,1,KGID1091,Prakash Kumar,1983-08-22,1,2,0,2001-04-01
1092,4,17,6,4,KGID1092,Basavaraj Patil,1994-09-02,1,4,0,2019-01-01
1093,4,17,4,2,KGID1093,Umesh,1989-11-05,1,7,0,2003-01-01
1094,4,17,7,3,KGID1094,Anand Patil,1998-04-08,1,5,0,2022-09-01
1095,4,17,6,4,KGID1095,Anand Murthy,1996-12-09,1,7,0,2005-12-01
1096,4,17,6,4,KGID1096,Yogesh Naik,1996-10-24,1,8,0,2014-04-01
1097,5,18,6,1,KGID1097,Lokesh,1994-12-21,1,2,0,2007-03-01
1098,5,18,6,4,KGID1098,Prakash Kumar,1978-03-03,1,4,0,2017-06-01
1099,5,18,5,2,KGID1099,Srinivas Rao,1977-04-25,1,6,0,2020-01-01
1100,5,18,7,4,KGID1100,Suresh Poojari,1975-09-21,1,3,0,2010-04-01
1101,5,18,5,2,KGID1101,Kiran Murthy,1999-07-05,1,7,0,2022-03-01
1102,5,18,7,3,KGID1102,Nagaraj Kumar,2000-03-09,1,2,0,2010-03-01
1103,5,18,7,3,KGID1103,Raghavendra Hegde,1990-10-18,1,3,0,2014-10-01
1104,5,18,5,2,KGID1104,Mahesh Murthy,1987-11-11,1,8,0,2000-05-01
1105,6,19,7,1,KGID1105,Yogesh,1994-06-06,1,6,0,2003-04-01
1106,6,19,6,4,KGID1106,Chandrashekar Swamy,1985-10-02,1,8,0,2014-11-01
1107,6,19,5,2,KGID1107,Nagaraj Murthy,1994-09-13,1,3,0,2019-07-01
1108,6,19,7,3,KGID1108,Srinivas Rao,1979-01-04,1,2,0,2000-01-01
1109,6,19,7,4,KGID1109,Ramesh Poojari,1997-05-17,1,4,0,2006-02-01
1110,6,19,4,2,KGID1110,Krishnappa Hegde,1994-04-08,1,8,0,2005-12-01
1111,6,19,7,4,KGID1111,Shivakumar,1980-02-17,1,7,0,2009-05-01
1112,7,20,6,1,KGID1112,Darshan Reddy,1990-12-13,1,7,0,2010-05-01
1113,7,20,6,3,KGID1113,Venkatesh Poojari,1978-03-15,1,5,0,2006-02-01
1114,7,20,7,3,KGID1114,Mahesh Hegde,1995-05-17,1,1,0,2014-03-01
1115,7,20,6,4,KGID1115,Srinivas,1983-03-23,1,6,0,2017-07-01
1116,7,20,6,4,KGID1116,Muniraju Gowda,1997-03-11,1,3,0,2008-07-01
1117,7,20,7,3,KGID1117,Suresh Naik,1999-01-26,1,5,0,2001-04-01
1118,7,20,7,3,KGID1118,Krishnappa Reddy,1980-10-17,1,6,0,2008-02-01
1119,7,20,5,2,KGID1119,Venkatesh Achar,1992-05-15,1,1,0,2015-07-01
1120,8,21,7,1,KGID1120,Ramesh,1988-03-07,1,1,0,2002-04-01
1121,8,21,4,2,KGID1121,Nagaraj Naik,1998-11-14,1,7,0,2007-05-01
1122,8,21,5,2,KGID1122,Shivakumar Poojari,1978-03-01,1,4,0,2021-04-01
1123,8,21,7,4,KGID1123,Harish Patil,1982-11-28,1,7,0,2022-01-01
1124,8,21,6,3,KGID1124,Raghavendra,1988-11-06,1,1,0,2001-11-01
1125,8,21,6,4,KGID1125,Anand Rao,1992-10-04,1,1,0,2007-12-01
1126,8,21,7,4,KGID1126,Umesh Achar,1983-04-26,1,8,0,2014-09-01
1127,8,21,6,3,KGID1127,Umesh Poojari,1989-07-09,1,8,0,2016-12-01
1128,8,21,6,4,KGID1128,Lokesh Achar,1998-01-02,1,1,0,2006-09-01
1129,8,21,6,4,KGID1129,Nagaraj Hegde,1987-10-01,1,7,0,2011-08-01
