VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,13,Nagamma Swamy,20,2,0
2,14,Vani Patil,74,2,0
3,15,Shwetha Hegde,70,2,0
4,16,Shwetha Murthy,40,2,0
5,17,Rekha Patil,47,2,0
6,18,Bhagya Gowda,67,2,0
7,19,Nagamma Swamy,41,2,0
8,20,Divya Poojari,50,2,0
9,21,Lakshmi Kumar,75,2,0
10,22,Asha,40,2,0
11,23,Rathnamma Achar,57,2,0
12,24,Vani,23,2,0
13,25,Savitha Patil,40,2,0
14,26,Sunitha Achar,33,2,0
15,27,Asha Kumar,22,2,0
16,28,Rekha Naik,59,2,0
17,29,Lakshmi,72,2,0
18,31,Vani Kumar,34,2,0
19,33,Rathnamma Murthy,63,2,0
20,34,Vani Gowda,39,2,0
21,40,Vani Naik,46,2,0
22,43,Sunitha Shetty,69,2,0
23,44,Vani Kumar,22,2,0
24,49,Sunitha,63,2,0
25,51,Shobha Rao,45,2,0
26,53,Nagamma Murthy,17,2,0
27,54,Shobha Swamy,39,2,0
28,55,Anand Swamy,22,1,0
29,58,Muniraju,72,1,0
30,59,Krishnappa Rao,57,1,0
31,60,Divya Patil,39,2,0
32,61,Manjula Kumar,60,2,0
33,63,Yogesh Gowda,38,1,0
34,65,Shwetha Rao,40,2,0
35,68,Padma Swamy,66,2,0
36,71,Vani Rao,37,2,0
37,73,Manjula,23,2,0
38,74,Shwetha Kumar,16,2,0
39,75,Nagaraj,27,1,0
40,78,Pallavi Patil,54,2,0
41,82,Manjula,64,2,0
42,85,Asha Swamy,28,2,0
43,89,Pallavi,19,2,0
44,90,Deepa,63,2,0
45,91,Sunitha Gowda,23,2,0
46,92,Savitha Hegde,59,2,0
47,94,Shobha,60,2,0
48,96,Rekha,58,2,0
49,97,Shobha Murthy,60,2,0
50,101,Shwetha Poojari,19,2,0
51,102,Divya,44,2,0
52,106,Manjula Achar,23,2,0
53,108,Nagaraj,17,1,0
54,109,Manjula Kumar,66,2,0
55,110,Kavitha Swamy,17,2,0
56,111,Asha,67,2,0
57,113,Vani,70,2,0
58,114,Sunitha Hegde,55,2,0
59,116,Rathnamma Poojari,66,2,0
60,117,Padma,67,2,0
61,119,Manjula,22,2,0
62,120,Geetha Poojari,70,2,0
63,122,Divya Kumar,18,2,0
64,127,Padma Rao,22,2,0
65,129,Bhagya,44,2,0
66,130,Darshan Reddy,44,1,0
67,133,Prakash Murthy,67,1,0
68,139,Mahesh Poojari,20,1,0
69,140,Shwetha Achar,20,2,0
70,146,Deepa,20,2,0
71,152,Lakshmi Hegde,60,2,0
72,158,Manjunath Patil,23,1,0
73,159,Chandrashekar Gowda,69,1,0
74,160,Pallavi,27,2,0
75,162,Shobha Achar,32,2,0
76,164,Nagaraj Rao,20,1,0
77,166,Anand Gowda,25,1,0
78,167,Bhagya,56,2,0
79,168,Prakash Murthy,49,1,0
80,170,Nagamma Swamy,71,2,0
81,171,Harish Swamy,20,1,0
82,174,Mahesh Shetty,50,1,0
83,175,Padma Gowda,48,2,0
84,176,Raghavendra Gowda,46,1,0
85,183,Ramesh Naik,17,1,0
86,184,Asha,44,2,0
87,185,Savitha Poojari,72,2,0
88,186,Sunitha Achar,75,2,0
89,187,Savitha Achar,41,2,0
90,189,Ramesh,22,1,0
91,192,Nagamma Rao,52,2,0
92,197,Rekha Kumar,49,2,0
93,198,Nagamma Gowda,19,2,0
94,199,Geetha Hegde,16,2,0
95,200,Nagamma Patil,17,2,0
96,202,Vani,60,2,0
97,203,Padma,72,2,0
98,215,Manjula Naik,25,2,0
99,217,Geetha Kumar,42,2,0
100,220,Savitha Swamy,46,2,0
101,223,Geetha Achar,53,2,0
102,225,Bhagya,57,2,0
103,227,Rathnamma,44,2,0
104,230,Rathnamma Kumar,60,2,0
105,234,Basavaraj,61,1,0
106,237,Bhagya Hegde,16,2,0
107,238,Lakshmi Naik,17,2,0
108,249,Padma Reddy,68,2,0
109,250,Padma,75,2,0
110,252,Harish Swamy,52,1,0
111,253,Vani Swamy,16,2,0
112,254,Bhagya Achar,70,2,0
113,257,Pallavi Achar,34,2,0
114,259,Yogesh Patil,73,1,0
115,260,Ramesh,66,1,0
116,262,Savitha Hegde,51,2,0
117,265,Nagamma Shetty,64,2,0
118,268,Deepa Poojari,32,2,0
119,274,Savitha Reddy,39,2,0
120,281,Asha Achar,60,2,0
121,284,Savitha Patil,34,2,0
122,286,Shobha Gowda,31,2,0
123,287,Rathnamma Achar,22,2,0
124,288,Muniraju Reddy,35,1,0
125,289,Padma,31,2,0
126,292,Shobha Swamy,39,2,0
127,295,Prakash,28,1,0
128,296,Asha,45,2,0
129,301,Geetha Poojari,73,2,0
130,303,Nagamma,47,2,0
131,305,Bhagya Hegde,29,2,0
132,310,Rathnamma Achar,28,2,0
133,317,Mahesh Reddy,53,1,0
134,323,Shwetha Shetty,56,2,0
135,327,Sunitha,54,2,0
136,328,Sunitha Swamy,47,2,0
137,330,Anand Hegde,43,1,0
138,332,Shobha Patil,34,2,0
139,333,Rathnamma Reddy,17,2,0
140,334,Shobha Rao,59,2,0
141,338,Pallavi Hegde,66,2,0
142,341,Chandrashekar,69,1,0
143,344,Lakshmi,42,2,0
144,346,Girish,30,1,0
145,347,Rathnamma Shetty,37,2,0
146,348,Harish Shetty,33,1,0
147,352,Ramesh Shetty,28,1,0
148,356,Nagamma Swamy,26,2,0
149,361,Savitha Swamy,73,2,0
150,366,Savitha,34,2,0
151,370,Lakshmi Poojari,31,2,0
152,377,Darshan,73,1,0
153,379,Yogesh Rao,24,1,0
154,381,Yogesh Patil,28,1,0
155,385,Basavaraj Swamy,26,1,0
156,388,Manjula Naik,17,2,0
157,389,Vani Swamy,29,2,0
158,391,Divya Gowda,34,2,0
159,393,Savitha,75,2,0
160,394,Santosh,52,1,0
161,395,Santosh Patil,56,1,0
162,403,Pallavi,26,2,0
163,410,Chandrashekar Patil,75,1,0
164,411,Asha Patil,72,2,0
165,414,Rekha Patil,38,2,0
166,416,Muniraju Naik,58,1,0
167,420,Padma Achar,60,2,0
168,421,Venkatesh Poojari,54,1,0
169,423,Shwetha Patil,27,2,0
170,426,Nagaraj Murthy,29,1,0
171,427,Shwetha Swamy,33,2,0
172,428,Kavitha Kumar,30,2,0
173,429,Shwetha Murthy,39,2,0
174,430,Divya Shetty,51,2,0
175,436,Rekha Shetty,27,2,0
176,437,Girish Kumar,44,1,0
177,439,Geetha Rao,65,2,0
178,440,Kavitha,56,2,0
179,441,Nagaraj,39,1,0
180,444,Savitha Swamy,72,2,0
181,447,Savitha Achar,42,2,0
182,449,Suresh Rao,32,1,0
183,456,Shwetha Reddy,43,2,0
184,458,Rathnamma,33,2,0
185,459,Lokesh Swamy,18,1,0
186,460,Harish Patil,54,1,0
187,461,Asha Shetty,21,2,0
188,463,Asha,68,2,0
189,466,Shwetha,23,2,0
190,467,Padma Achar,50,2,0
191,470,Pallavi,20,2,0
192,473,Bhagya Hegde,62,2,1
193,474,Darshan Reddy,53,1,0
194,476,Padma Patil,67,2,0
195,480,Umesh Naik,45,1,0
196,488,Savitha Patil,36,2,0
197,495,Pallavi Naik,43,2,0
198,502,Kavitha Rao,69,2,0
199,505,Deepa Reddy,74,2,0
200,509,Shwetha Naik,54,2,0
201,511,Divya Murthy,44,2,0
202,512,Shobha Patil,68,2,0
203,514,Nagamma Hegde,51,2,0
204,516,Vani Gowda,35,2,0
205,521,Darshan,25,1,0
206,525,Bhagya Achar,64,2,0
207,530,Asha Gowda,70,2,0
208,533,Pallavi Patil,32,2,0
209,537,Savitha Patil,60,2,0
210,538,Manjunath Shetty,29,1,0
211,543,Asha,46,2,0
212,546,Raghavendra Hegde,51,1,0
213,547,Asha Poojari,62,2,0
214,548,Rathnamma Murthy,43,2,0
215,556,Geetha Shetty,48,2,0
216,557,Nagaraj Shetty,34,1,0
217,558,Geetha Poojari,66,2,0
218,560,Manjula Reddy,39,2,0
219,564,Kavitha Achar,48,2,0
220,571,Sunitha Gowda,53,2,0
221,572,Harish Patil,18,1,0
222,575,Shobha Murthy,71,2,0
223,580,Darshan Reddy,33,1,0
224,582,Bhagya Poojari,64,2,0
225,583,Asha Achar,55,2,0
226,584,Basavaraj Gowda,40,1,0
227,585,Yogesh Naik,62,1,0
228,589,Vani Murthy,53,2,0
229,591,Lakshmi,42,2,0
230,593,Girish,72,1,0
231,596,Deepa Kumar,21,2,0
232,598,Santosh,43,1,0
233,600,Rathnamma,58,2,0
234,605,Yogesh Swamy,65,1,0
235,607,Divya Gowda,44,2,0
236,613,Girish Reddy,33,1,0
237,621,Bhagya,74,2,0
238,623,Sunitha Kumar,68,2,0
239,626,Geetha Swamy,47,2,0
240,631,Bhagya Reddy,53,2,0
241,636,Prakash,21,1,0
242,637,Nagamma Naik,58,2,0
