AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Manjunatha,28,1,A1
2,2,Manjunatha G,31,1,A1
3,3,Manjunath,34,1,A1
4,4,Manjunatha G,28,1,A1
5,5,Manjunatha,33,1,A1
6,6,Manjunatha G,35,1,A1
7,7,Manjunatha G,30,1,A1
8,8,Manjunatha,33,1,A1
9,9,Manjunath Gowda,32,1,A1
10,10,Manjunatha,30,1,A1
11,11,Manjunath Gowda,34,1,A1
12,12,Manjunath Gowda,32,1,A1
13,13,Syed Imran,30,1,A1
14,13,Naveen Reddy,26,1,A2
15,14,Muniraju,36,1,A1
16,14,Naveen Reddy,29,1,A2
17,14,Ravi K,31,1,A3
18,14,Ravi Kumar,31,1,A4
19,15,Santosh Naik,28,1,A1
20,15,Ravi K,29,1,A2
21,15,Naveen Reddy,27,1,A3
22,16,Syed Imran,33,1,A1
23,16,Santosh Naik,30,1,A2
24,16,Ravi Kumar,31,1,A3
25,17,Syed Imran,30,1,A1
26,17,Naveen Reddy,26,1,A2
27,18,Ravi K,31,1,A1
28,18,Ravi Kumar,31,1,A2
29,18,Santosh Naik,30,1,A3
30,18,Syed Imran,33,1,A4
31,19,Ravi K,29,1,A1
32,19,Naveen Reddy,27,1,A2
33,19,Ravi Kumar,29,1,A3
34,20,Naveen Reddy,27,1,A1
35,20,Muniraju,34,1,A2
36,20,Syed Imran,31,1,A3
37,21,Syed Imran,30,1,A1
38,21,Ravi K,28,1,A2
39,21,Naveen Reddy,26,1,A3
40,21,Santosh Naik,27,1,A4
41,22,Santosh Naik,28,1,A1
42,22,Syed Imran,31,1,A2
43,22,Ravi K,29,1,A3
44,22,Ravi Kumar,29,1,A4
45,23,Muniraju,34,1,A1
46,23,Syed Imran,31,1,A2
47,23,Ravi K,29,1,A3
48,24,Muniraju,36,1,A1
49,24,Naveen Reddy,29,1,A2
50,24,Ravi K,31,1,A3
51,24,Syed Imran,33,1,A4
52,25,Santosh Naik,30,1,A1
53,25,Syed Imran,33,1,A2
54,25,Muniraju,36,1,A3
55,25,Ravi Kumar,31,1,A4
56,26,Ravi K,31,1,A1
57,26,Syed Imran,33,1,A2
58,26,Muniraju,36,1,A3
59,26,Santosh Naik,30,1,A4
60,27,Naveen Reddy,29,1,A1
61,27,Ravi Kumar,31,1,A2
62,28,Puneeth Reddy,20,1,A1
63,28,Umesh Hegde,22,1,A2
64,31,Santosh Rao,18,1,A1
65,33,Anand Poojari,44,1,A1
66,34,Prakash,20,1,A1
67,34,Basavaraj Naik,48,1,A2
68,34,Mahesh Gowda,22,1,A3
69,36,Ramesh Rao,44,1,A1
70,36,Girish,23,1,A2
71,38,Umesh Poojari,20,1,A1
72,38,Raghavendra Murthy,23,1,A2
73,40,Puneeth Reddy,40,1,A1
74,40,Raghavendra,47,1,A2
75,41,Manjunath Achar,19,1,A1
76,42,Nagaraj,21,1,A1
77,44,Yogesh Shetty,21,1,A1
78,45,Umesh Achar,46,1,A1
79,45,Nagaraj Reddy,24,1,A2
80,47,Ramesh Murthy,26,1,A1
81,48,Suresh Poojari,44,1,A1
82,49,Krishnappa Murthy,37,1,A1
83,52,Darshan Naik,36,1,A1
84,52,Harish Kumar,48,1,A2
85,53,Puneeth,42,1,A1
86,53,Raghavendra,29,1,A2
87,53,Shivakumar Naik,38,1,A3
88,54,Yogesh Patil,38,1,A1
89,55,Lokesh Murthy,44,1,A1
90,57,Muniraju Swamy,24,1,A1
91,59,Ramesh Hegde,37,1,A1
92,59,Kiran Rao,49,1,A2
93,61,Mahesh Kumar,42,1,A1
94,61,Raghavendra Patil,34,1,A2
95,62,Srinivas Hegde,50,1,A1
96,62,Kiran,28,1,A2
97,62,Srinivas,29,1,A3
