ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Puneeth Hegde,54,3,1,1,1
2,2,Anand,41,5,3,3,1
3,3,Deepa,62,3,1,3,2
4,4,Deepa Reddy,60,2,1,1,2
5,5,Raghavendra Poojari,55,2,1,10,1
6,6,Krishnappa Reddy,38,4,1,6,1
7,7,Mahesh Achar,32,7,2,10,1
8,8,Darshan Gowda,61,2,1,7,1
9,9,Krishnappa Gowda,45,1,3,6,1
10,10,Nagaraj Shetty,56,2,2,2,1
11,11,Suresh Patil,24,8,2,2,1
12,12,Girish Swamy,68,3,1,9,1
13,13,Deepa Naik,52,2,5,8,2
14,14,Raghavendra Naik,42,10,1,1,1
15,15,Ramesh Achar,40,2,1,2,1
16,16,Savitha Hegde,37,5,7,9,2
17,17,Vani Shetty,62,4,1,6,2
18,18,Girish,53,2,2,8,1
19,19,Divya Shetty,57,8,1,7,2
20,20,Manjula Poojari,59,2,4,3,2
21,21,Raghavendra Poojari,53,2,1,2,1
22,22,Rathnamma Hegde,20,4,1,4,2
23,23,Srinivas Reddy,44,6,2,1,1
24,24,Srinivas,64,6,2,5,1
25,25,Pallavi Naik,58,2,1,6,2
26,26,Prakash Hegde,28,7,1,3,1
27,27,Basavaraj Naik,26,4,1,10,1
28,28,Srinivas,37,6,1,1,1
29,29,Raghavendra Shetty,35,2,3,2,1
30,30,Raghavendra Swamy,60,4,1,7,1
31,31,Padma,66,6,1,4,2
32,32,Puneeth Achar,64,4,1,6,1
33,33,Raghavendra Gowda,57,6,4,8,1
34,34,Anand Patil,21,6,2,2,1
35,35,Bhagya Gowda,58,2,7,8,2
36,36,Anand Poojari,44,2,1,9,1
37,37,Umesh,70,8,6,3,1
38,38,Srinivas Shetty,63,4,1,8,1
39,39,Nagaraj Poojari,48,3,1,8,1
40,40,Divya Shetty,41,3,1,5,2
41,41,Nagaraj,42,9,1,8,1
42,42,Geetha,69,2,2,10,2
43,43,Mahesh Murthy,41,4,1,10,1
44,44,Muniraju,26,8,1,5,1
45,45,Sunitha Swamy,61,2,1,1,2
46,46,Ramesh Hegde,38,2,3,10,1
47,47,Shobha Gowda,33,2,1,8,2
48,48,Lakshmi Gowda,18,2,1,7,2
49,49,Raghavendra Swamy,62,8,4,1,1
50,50,Nagaraj Shetty,67,7,1,2,1
51,51,Girish,46,5,1,2,1
52,52,Girish Swamy,45,2,1,3,1
53,53,Srinivas Naik,35,5,2,1,1
54,54,Nagamma Murthy,60,4,1,5,2
55,55,Nagaraj Naik,62,1,1,2,1
56,56,Santosh Naik,30,4,1,9,1
57,57,Girish Hegde,29,4,1,8,1
58,58,Sunitha,56,2,3,2,2
59,59,Santosh Murthy,33,1,1,5,1
60,60,Lokesh Gowda,41,6,1,8,1
61,61,Rekha Achar,69,1,1,5,2
62,62,Suresh Achar,63,10,2,6,1
63,63,Bhagya Kumar,54,8,7,3,2
64,64,Nagamma Rao,26,2,1,5,2
65,65,Srinivas Swamy,18,3,1,9,1
66,66,Shivakumar,20,8,1,6,1
67,67,Lakshmi,61,8,2,3,2
68,68,Mahesh Gowda,50,2,1,7,1
69,69,Shivakumar Patil,26,8,2,7,1
70,70,Darshan Achar,38,5,1,10,1
71,71,Shivakumar Rao,61,2,2,5,1
72,72,Shivakumar Swamy,22,2,1,9,1
73,73,Basavaraj,31,6,1,5,1
74,74,Yogesh,31,8,1,2,1
75,75,Lakshmi Patil,28,5,1,7,2
76,76,Puneeth Patil,39,3,1,4,1
77,77,Lakshmi,50,6,2,10,2
78,78,Shwetha Hegde,20,2,1,2,2
79,79,Harish,56,1,3,8,1
80,80,Shivakumar Poojari,43,6,1,1,1
81,81,Venkatesh,56,5,1,7,1
82,82,Anand Kumar,54,4,1,7,1
83,83,Rathnamma Achar,59,5,2,10,2
84,84,Mahesh Shetty,44,5,1,9,1
85,85,Shivakumar Patil,38,3,3,5,1
86,86,Girish,61,7,1,2,1
87,87,Padma Shetty,69,9,1,1,2
88,88,Deepa Swamy,27,8,1,6,2
89,89,Manjula Swamy,42,3,1,5,2
90,90,Ramesh Poojari,70,7,1,5,1
91,91,Deepa Rao,62,6,1,1,2
92,92,Lokesh Naik,65,10,1,2,1
93,93,Savitha Gowda,40,6,2,2,2
94,94,Nagamma,57,2,2,9,2
95,95,Umesh,41,7,1,10,1
96,96,Nagaraj Kumar,67,5,2,6,1
97,97,Shwetha Shetty,49,8,1,10,2
98,98,Santosh Reddy,48,5,1,7,1
99,99,Rekha Hegde,57,8,2,10,2
100,100,Muniraju Achar,35,1,1,1,1
101,101,Kavitha Naik,27,3,1,3,2
102,102,Nagaraj Reddy,26,2,2,10,1
103,103,Rathnamma Achar,65,5,1,1,2
104,104,Lokesh Achar,63,8,3,2,1
105,105,Venkatesh Naik,18,6,1,8,1
106,106,Girish,22,7,2,2,1
107,107,Lakshmi Reddy,19,4,2,4,2
108,108,Srinivas Hegde,53,5,1,6,1
109,109,Sunitha Naik,39,8,2,9,2
110,110,Kavitha Shetty,28,2,1,10,2
111,111,Yogesh Murthy,67,4,1,4,1
112,112,Harish Kumar,22,3,2,10,1
113,113,Vani Murthy,40,10,1,10,2
114,114,Ramesh Shetty,64,8,1,3,1
115,115,Darshan Reddy,33,4,2,2,1
116,116,Prakash Achar,29,8,2,8,1
117,117,Anand Naik,42,6,1,5,1
118,118,Chandrashekar Reddy,61,4,1,5,1
119,119,Suresh Rao,70,2,1,8,1
120,120,Muniraju,67,5,1,6,1
121,121,Yogesh Swamy,51,4,1,9,1
122,122,Divya Shetty,38,8,2,1,2
123,123,Manjula Swamy,70,7,1,1,2
124,124,Prakash Reddy,33,6,1,6,1
125,125,Lokesh Patil,44,2,1,5,1
126,126,Kiran Naik,59,10,1,5,1
127,127,Yogesh Poojari,63,1,2,4,1
128,128,Shivakumar Rao,22,2,1,3,1
129,129,Asha Shetty,29,8,1,3,2
130,130,Sunitha,54,6,3,6,2
131,131,Lokesh,53,2,2,8,1
132,132,Harish,62,6,1,5,1
133,133,Asha Rao,61,6,1,9,2
134,134,Manjunath Kumar,62,7,1,1,1
135,135,Divya Gowda,64,2,1,9,2
136,136,Nagamma Shetty,18,10,1,2,2
137,137,Lokesh Reddy,25,2,1,3,1
138,138,Deepa Patil,20,1,1,5,2
139,139,Srinivas Naik,33,2,1,2,1
